"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.7170096636,0.003387953155,3.404684067,2.983746129e-20,4282,1,11.10056877,23.70750046,-25.50380325,0
0.7097806334,0.004126782529,3.403854132,1.574670451e-20,4282,1,11.16951656,23.71500015,-25.43526459,0
0.7025239468,0.004862698726,3.402987242,2.001169622e-21,4282,1,11.23846436,23.72249985,-25.36672592,0
0.6952396631,0.005595704075,3.402083635,-1.139946488e-20,4282,1,11.30741215,23.72999954,-25.29818726,0
0.6879276633,0.006325801369,3.401143312,-2.445552372e-20,4282,1,11.37635994,23.73749924,-25.22964859,0
0.6801839471,0.007282289211,3.400248528,-2.610508504e-20,8655,1,11.44530773,23.74500084,-25.16110992,0
0.6722992659,0.008296882734,3.399346352,-2.588097726e-20,8655,1,11.51425552,23.75250053,-25.09257126,0
0.6643767953,0.009310561232,3.398415804,-2.678706314e-20,8655,1,11.58320332,23.76000023,-25.02403259,0
0.6564166546,0.01032329258,3.397456646,-2.882220372e-20,8655,1,11.6521492,23.76749992,-24.95549583,0
0.6484185457,0.01133514382,3.396469593,-3.19854587e-20,8655,1,11.72109699,23.77499962,-24.88695717,0
0.6403827071,0.01234608237,3.39545393,-3.627570203e-20,8655,1,11.79004478,23.78249931,-24.8184185,0
0.6322987676,0.01343343873,3.388859034,-3.934364384e-20,2071,1,11.85899258,23.79000092,-24.74987984,0
0.6240125895,0.01454924047,3.38152647,-3.854994789e-20,6471,1,11.92794037,23.79750061,-24.68134117,0
0.6151301861,0.01572555117,3.374497175,-2.707388156e-20,6471,1,11.99688816,23.80500031,-24.61280251,0
0.6061937809,0.01688955911,3.367436886,-1.588229428e-20,6471,1,12.06583595,23.8125,-24.54426384,0
0.5972033739,0.0180412773,3.360345602,-4.974955817e-21,6471,1,12.13478374,23.81999969,-24.47572517,0
0.5881590247,0.01918071508,3.353223324,5.648362827e-21,6471,1,12.20373154,23.82749939,-24.40718651,0
0.5790607929,0.02030787989,3.346070051,1.598789067e-20,6471,1,12.27267933,23.83499908,-24.33864784,0
0.5699086189,0.0214227438,3.338883638,2.604360387e-20,6471,1,12.34162712,23.84250069,-24.27010918,0
0.5607026815,0.0225253962,3.331668615,3.581620967e-20,6471,1,12.41057491,23.85000038,-24.20157051,0
0.5508542061,0.02390766144,3.324641466,3.948462643e-20,2061,1,12.4795208,23.85750008,-24.13303375,0
0.5405154228,0.02549562044,3.317766905,3.852381092e-20,2061,1,12.54846859,23.86499977,-24.06449509,0
0.5301086903,0.02708060481,3.310894012,3.709395814e-20,2061,1,12.61741638,23.87249947,-23.99595642,0
0.5196340084,0.02866261452,3.304022789,3.519546231e-20,2061,1,12.68636417,23.87999916,-23.92741776,0
0.5090913773,0.03024159744,3.297150612,3.282844945e-20,2061,1,12.75531197,23.88750076,-23.85887909,0
0.4984810352,0.03181766719,3.290282249,2.999380812e-20,2061,1,12.82425976,23.89500046,-23.79034042,0
0.4878029525,0.03339077532,3.283415556,2.669171927e-20,2061,1,12.89320755,23.90250015,-23.72180176,0
0.4770571887,0.03496091813,3.276550293,2.292258357e-20,2061,1,12.96215534,23.90999985,-23.65326309,0
0.465146333,0.03660950065,3.270535946,1.820416602e-20,6461,1,13.03110313,23.91749954,-23.58472443,0
0.4529862702,0.03825259581,3.264685631,1.383228869e-20,6461,1,13.10005093,23.92499924,-23.51618576,0
0.4407448769,0.03987654671,3.258868694,9.943992123e-21,6461,1,13.16899872,23.93250084,-23.44764709,0
0.4284229279,0.0414814502,3.253089666,6.539508169e-21,6461,1,13.2379446,23.94000053,-23.37911034,0
0.4160196483,0.04306736216,3.247346401,3.617979755e-21,6461,1,13.3068924,23.94750023,-23.31057167,0
0.4035354257,0.04463424534,3.24163866,1.179076392e-21,6461,1,13.37584019,23.95499992,-23.242033,0
0.3909703195,0.04618211463,3.235966444,-7.776070787e-22,6461,1,13.44478798,23.96249962,-23.17349434,0
